Table 1
user_id,user_name,user_created_at,user_deleted_at,user_state
40314,user_0,2024-03-07 05:31:47,NA,registered
16291,user_1,2021-03-19 18:19:49,NA,registered
41345,user_2,2024-09-21 21:06:50,NA,registered
6156,user_3,2021-11-28 21:27:17,NA,registered
9646,user_4,2020-05-31 16:27:28,NA,registered
43745,user_5,2023-10-20 17:04:45,NA,registered
10640,user_6,2022-07-08 14:57:10,2022-12-17 14:55:52,deleted
87134,user_7,2024-09-20 19:31:10,NA,registered
15835,user_8,2025-02-01 22:42:45,NA,registered
62610,user_9,2025-01-22 11:26:31,NA,registered
44866,user_10,2021-06-12 16:11:09,NA,registered
94198,user_11,2020-12-23 16:41:07,NA,registered
68829,user_12,2022-03-13 11:28:26,NA,registered
1575,user_13,2021-01-04 02:53:59,NA,registered
58684,user_14,2024-02-06 15:48:56,NA,registered
95916,user_15,2022-05-04 20:13:07,NA,registered
33316,user_16,2023-08-19 17:18:49,NA,registered
28772,user_17,2025-02-06 03:30:23,NA,registered
80034,user_18,2023-11-03 20:30:50,NA,registered
61209,user_19,2024-04-29 07:58:19,NA,registered
78926,user_20,2020-09-09 14:55:06,NA,registered
24035,user_21,2024-08-06 13:27:17,NA,registered
52271,user_22,2022-07-26 20:16:06,NA,registered
26701,user_23,2020-10-11 15:59:31,NA,registered
14797,user_24,2024-05-20 05:07:32,NA,registered
46872,user_25,2020-04-03 04:46:18,NA,registered
78468,user_26,2023-02-21 11:32:54,NA,registered
64054,user_27,2020-06-04 20:09:15,NA,registered
85270,user_28,2021-06-23 20:45:34,NA,registered
66768,user_29,2024-10-29 09:30:16,NA,registered
69812,user_30,2023-11-13 19:30:31,NA,registered
56857,user_31,2020-11-15 15:41:36,NA,registered
5972,user_32,2024-03-16 21:57:48,NA,registered
51292,user_33,2021-05-20 14:25:54,NA,registered
69228,user_34,2022-05-09 09:51:08,NA,registered
39135,user_35,2021-04-18 04:10:58,NA,registered
57172,user_36,2023-01-02 07:24:33,NA,registered
95627,user_37,2020-04-19 06:57:42,NA,registered
60021,user_38,2024-05-14 23:41:17,NA,registered
28973,user_39,2024-04-06 23:20:41,NA,registered
87296,user_40,2021-03-16 00:14:14,NA,registered
55835,user_41,2024-02-05 10:06:20,NA,registered
38788,user_42,2021-03-12 01:33:13,NA,registered
27643,user_43,2020-05-30 13:55:15,NA,registered
75379,user_44,2022-04-26 19:12:06,NA,registered
12686,user_45,2021-03-27 14:59:05,NA,registered
20825,user_46,2023-03-31 21:21:49,NA,registered
68139,user_47,2024-07-18 08:22:36,NA,registered
48379,user_48,2025-02-01 18:10:15,NA,registered
43811,user_49,2023-10-24 17:43:07,NA,registered
15401,user_50,2020-12-01 10:03:54,NA,registered
36014,user_51,2020-07-15 20:17:32,NA,registered
28713,user_52,2022-03-17 18:56:21,NA,registered
67180,user_53,2020-03-17 00:24:51,NA,registered
88858,user_54,2023-03-22 23:19:33,NA,registered
79075,user_55,2020-05-21 10:40:14,NA,registered
90040,user_56,2024-01-09 10:29:14,NA,registered
19606,user_57,2023-07-31 09:52:11,NA,registered
66122,user_58,2023-12-15 06:38:03,NA,registered
88821,user_59,2020-03-20 03:00:42,NA,registered
56276,user_60,2022-02-27 05:11:33,NA,registered
12464,user_61,2020-11-04 10:41:26,NA,registered
87946,user_62,2022-12-18 23:02:02,NA,registered
96493,user_63,2020-12-03 04:36:20,NA,registered
71126,user_64,2023-01-22 07:41:42,NA,registered
75725,user_65,2025-02-07 06:07:59,NA,registered
82849,user_66,2020-05-16 15:43:14,NA,registered
43891,user_67,2022-09-25 11:02:12,NA,registered
80354,user_68,2024-12-16 09:35:33,NA,registered
25756,user_69,2021-11-10 17:52:03,NA,registered
72992,user_70,2025-01-14 02:21:33,NA,registered
26623,user_71,2020-06-11 19:15:44,NA,registered
83881,user_72,2021-12-18 01:55:49,NA,registered
6804,user_73,2024-02-15 01:21:12,NA,registered
8377,user_74,2023-05-29 00:16:39,NA,registered
43616,user_75,2021-04-09 06:59:30,NA,registered
95308,user_76,2023-05-05 22:39:57,NA,registered
63326,user_77,2020-02-17 17:50:19,NA,registered
5420,user_78,2022-05-15 02:04:06,NA,registered
83248,user_79,2020-01-21 07:28:18,NA,registered
28442,user_80,2023-07-05 18:41:36,NA,registered
36873,user_81,2023-12-18 01:23:16,NA,registered
99038,user_82,2024-11-02 16:07:43,NA,registered
21300,user_83,2022-04-27 19:35:53,NA,registered
89972,user_84,2023-03-28 23:42:50,NA,registered
17417,user_85,2020-01-01 10:01:52,NA,registered
21551,user_86,2021-02-09 09:21:07,NA,registered
69120,user_87,2024-06-19 10:31:18,NA,registered
34777,user_88,2025-01-06 20:37:42,NA,registered
65392,user_89,2023-12-23 07:42:24,2024-10-07 01:06:57,deleted
38830,user_90,2020-05-23 01:12:17,NA,registered
19798,user_91,2024-11-11 03:54:37,NA,registered
85465,user_92,2023-10-23 16:54:50,NA,registered
3371,user_93,2021-01-21 12:48:47,NA,registered
27019,user_94,2021-02-21 02:28:20,NA,registered
76480,user_95,2021-03-30 22:49:57,NA,registered
46277,user_96,2020-03-08 10:55:27,NA,registered
43130,user_97,2021-10-07 14:53:36,NA,registered
66420,user_98,2022-11-18 04:45:08,NA,registered
31259,user_99,2024-06-14 22:01:09,NA,registered
73235,user_100,2023-12-05 04:16:53,NA,registered
63048,user_101,2024-02-13 02:23:40,NA,registered
81972,user_102,2023-04-06 18:49:41,NA,registered
8306,user_103,2022-06-09 15:31:02,NA,registered
68173,user_104,2020-02-09 03:35:40,NA,registered
47907,user_105,2023-11-17 20:26:57,NA,registered
48428,user_106,2021-01-01 11:24:18,NA,registered
8300,user_107,2025-02-21 07:56:03,NA,registered
10885,user_108,2024-10-07 09:30:11,NA,registered
91271,user_109,2020-04-04 09:22:05,NA,registered
30009,user_110,2020-11-12 07:06:31,NA,registered
94782,user_111,2024-08-13 01:34:29,NA,registered
21090,user_112,2020-06-24 02:04:44,NA,registered
63718,user_113,2025-01-05 22:17:53,NA,registered
75035,user_114,2020-09-01 01:11:30,NA,registered
80299,user_115,2020-06-16 06:03:00,NA,registered
25116,user_116,2023-11-19 22:05:12,NA,registered
62594,user_117,2021-02-06 16:45:44,NA,registered
13803,user_118,2022-01-22 08:34:55,NA,registered
16413,user_119,2022-10-02 05:51:44,NA,registered
23195,user_120,2020-05-15 13:37:49,NA,registered
47263,user_121,2024-11-10 06:43:06,2025-01-28 06:09:16,deleted
47463,user_122,2021-11-19 17:35:39,NA,registered
70572,user_123,2024-03-31 01:13:08,NA,registered
11602,user_124,2020-11-24 17:10:24,NA,registered
88696,user_125,2023-12-09 04:37:44,NA,registered
47137,user_126,2022-04-20 15:23:38,NA,registered
54675,user_127,2022-03-08 02:28:32,NA,registered
22612,user_128,2024-04-28 21:05:00,NA,registered
68532,user_129,2020-09-27 06:59:39,NA,registered
80276,user_130,2023-07-09 17:04:04,NA,registered
74795,user_131,2022-10-04 06:17:33,NA,registered
98635,user_132,2024-05-29 06:38:14,NA,registered
44999,user_133,2022-12-29 03:17:14,NA,registered
6523,user_134,2020-02-18 10:44:45,NA,registered
82748,user_135,2021-10-25 00:32:41,NA,registered
69717,user_136,2023-12-24 08:19:26,NA,registered
42018,user_137,2024-09-16 18:56:59,NA,registered
51667,user_138,2024-01-07 16:20:28,NA,registered
5951,user_139,2020-12-12 12:57:04,NA,registered
94621,user_140,2021-03-31 21:37:01,NA,registered
46091,user_141,2021-09-13 09:46:45,NA,registered
41703,user_142,2020-06-16 09:05:14,NA,registered
13951,user_143,2022-09-07 22:07:50,NA,registered
99402,user_144,2022-12-11 11:39:57,NA,registered
13121,user_145,2020-01-30 05:37:26,NA,registered
44326,user_146,2022-04-02 02:01:42,NA,registered
21187,user_147,2021-05-18 14:03:38,NA,registered
67191,user_148,2024-04-25 00:56:29,NA,registered
92440,user_149,2022-05-05 17:39:32,NA,registered
99642,user_150,2022-03-31 13:25:39,NA,registered
94952,user_151,2021-03-15 16:42:01,NA,registered
24260,user_152,2020-12-10 11:55:12,NA,registered
11733,user_153,2022-02-21 04:54:25,NA,registered
6435,user_154,2022-11-01 08:07:01,NA,registered
21259,user_155,2020-12-23 22:02:48,NA,registered
74764,user_156,2023-10-10 11:56:35,NA,registered
48690,user_157,2020-06-21 18:08:33,NA,registered
16844,user_158,2020-09-25 16:26:08,NA,registered
37355,user_159,2023-09-21 02:23:22,NA,registered
45705,user_160,2024-05-13 09:53:36,NA,registered
12389,user_161,2020-07-10 22:42:45,NA,registered
66732,user_162,2023-06-02 10:48:33,NA,registered
94909,user_163,2020-08-04 14:34:51,2022-04-21 23:14:41,deleted
21642,user_164,2024-05-05 11:58:32,NA,registered
95856,user_165,2020-04-21 08:26:50,NA,registered
19084,user_166,2020-06-11 02:17:36,NA,registered
14093,user_167,2022-01-24 14:08:43,NA,registered
65043,user_168,2024-04-18 05:14:15,NA,registered
45131,user_169,2022-02-11 21:52:45,NA,registered
4932,user_170,2020-08-23 11:06:32,NA,registered
61750,user_171,2023-04-02 10:37:02,NA,registered
72469,user_172,2024-07-07 03:09:14,NA,registered
24735,user_173,2024-10-19 05:07:36,NA,registered
67162,user_174,2022-07-10 19:09:57,NA,registered
64061,user_175,2023-08-21 15:04:34,NA,registered
28813,user_176,2023-03-21 00:04:54,NA,registered
97336,user_177,2023-11-04 14:53:27,NA,registered
70155,user_178,2024-05-26 14:47:36,NA,registered
38625,user_179,2021-03-09 20:02:03,NA,registered
99977,user_180,2023-07-01 13:35:00,NA,registered
22392,user_181,2024-08-19 14:26:04,NA,registered
38932,user_182,2021-07-22 18:48:30,NA,registered
12712,user_183,2021-08-07 08:30:51,NA,registered
24929,user_184,2020-09-28 06:56:20,NA,registered
59476,user_185,2022-08-14 10:26:54,NA,registered
26795,user_186,2020-03-12 12:28:42,NA,registered
21125,user_187,2021-03-24 16:41:04,NA,registered
37165,user_188,2021-08-04 17:14:57,NA,registered
40939,user_189,2022-06-19 14:58:04,NA,registered
88545,user_190,2023-02-01 11:09:43,NA,registered
62146,user_191,2023-01-21 05:44:05,NA,registered
77236,user_192,2020-03-17 03:12:01,NA,registered
89721,user_193,2021-05-24 02:44:28,NA,registered
3888,user_194,2022-01-21 16:05:21,NA,registered
97615,user_195,2022-01-16 10:06:29,NA,registered
52099,user_196,2023-03-18 19:03:10,NA,registered
76188,user_197,2024-08-17 06:16:54,NA,registered
28042,user_198,2023-07-04 13:06:07,NA,registered
57995,user_199,2023-06-24 10:32:02,NA,registered
